ID,Gender,Age,Country,How often movies,How often games,Women in media important,Use Bechdel before,Is Bechdel good?,Bechdel comments,Modifications on Bechdel,What Bechdel Mods,Film good rep,Games good rep,Strength,Strength comments,Good strong traits,Bad strong traits,Historical context,Context comments,Representation changed,Rep changed comments,Film Narrative,Film Characters,Game Narrative,Game Characters,Game Gameplay,Personally assess
11,Woman,18 - 23,United Kingdom,At least once a day,At least once a day,Moderately important,"Yes, I have heard of and used it before",No,"I think the Bechtel test is often appropriate, but can be very minimalist in dealing with media which centres on a male, but has at least 1 conversation not regarding them.",Yes,"Minimum conversation length, centricity of the films narrative (as a negative point but not an absolute no if centred on males). No to conversation topics as the potential list is infinite. Appearance etc again I don't feel is an absolute factor, unless women are used exclusively as sex symbols","Black panther, centred on males but female characters stand their own, are capable and stand up to oppression. Orphan black, majority female cast, strong personalities, well characterised. Pose, show which is inclusive of lgbt identities, explores struggles of trans and queer women in particular fighting for their place in the world in the 80s, using ballroom culture and house culture to back the narrative.","This one is harder. Stardew Valley has good characters who are well characterised, and rounded compared to their male counterparts. Breath of the wild shows strong female characters, with strengths and weaknesses, who fight to protect those around them.",Yes,Unsure of who the three characters in image for question 17.,"Well characterised, believable motivations and reactions, not one sided. Used and acknowledged in a variety of situations. Strength physically and mentally can be displayed but not necessary for my definition.",One note. Under characterised. Used only for sex appeal (with little to no commentary on why). Excessive use of stereotypes ,Historical accuracy/context can justify a lack of representation in some instances,"If it is looking to be wholy accurate then it may be justifiable. But if there is a fantasy element, or if women are missed in roles where they would typically be ie medics in the above example, then that excuse cannot be used. ",Yes,"I think if it is out of place in the context of the game then entirely yes! The examples above are fantastic. However if the difference and use of stereotypes has a robust and solid reason to be that way then I feel that it may be justified, depending on how robust it truly is.","Situational believability, realism, utilisation of character personalities. Cohesive story. Well defined world",Motivation. Emotional displays. Diversity of appearance and thought.relationships with other characters,Engaging story. Immersive narrative. Plot which can be followed. Plot which you can insert yourself into well. Some element of mystery and finding the story as it goes.,Believable motivation. Good characterisation from the get go - ie understanding who they are from the start.,Easy to control and appropriate scenarios.,How well characterised they are. Utilisation in the story.
12,Woman,18 - 23,United Kingdom,At least once a day,At least once a month,Very important,"Yes, I have heard of it before",No,,Yes,The Bechdel test should require at least 1 of the 2 women to be a main character - 2 background female characters do not provide adequate representation.,,,Yes,,"Ambition, Emotional Intelligence",,Historical accuracy/context can justify a lack of representation in some instances,,Yes,,"Whether the plot allows for character development, so the character has changed in some way from the beginning to the end.","Whether the character has a backstory and/or a current personal life - in other words, they didn’t simply “appear” when the story began.","Whether the plot allows for character development, so the character has changed in some way from the beginning to the end.","Whether the character has a backstory and/or a current personal life - in other words, they didn’t simply “appear” when the story began.",Whether you can choose to find out more about the past of a character. How you can choose to act towards the character.,"If a female main character does not have a fully-fleshed out personality and backstory in comparison to the male main characters, the video game does not have suitable representation."
13,Woman,18 - 23,United Kingdom,At least once a year,At least once a day,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),"I feel that its a good test to get a vague idea of how well women are represented, but I'm sure that a more holistic analysis of any media piece would yield more accurate results",Yes,,"Annihilation (2018) - Main cast are actually all women, all of whom in the story come from interesting and unique backgrounds. & The Umbrella Academy which features a fairly wide variety of women with different roles in the story, all of whom are written farily realistically I feel.","Dishonored 2 is an interesting example as it comes after Dishonored 1 which was criticised for how it protrayed women, as a sort of response to that, the player was given the option to choose to play as a woman in Dishonored 2, the character taht you can play as was already an established character and her relationships with the other women in the story are both varied and well written as to portray them as real, multi-dimensional people.  Amnesia Rebirth (2020) is a game where you play as a woman who is essentially stranded on her own and in that sense the story revolves around her alone, without the help of anyone else.  She acts believably and relatably and her identity as a woman is directly acknowledged within the story - her womanhood is essential to her as a character.  Milk Inside A Bag of Milk... & its sequel Milk Outside a Bag of Milk... are two indie visual novels in which the player must talk to a girl who is going to the store to buy milk.  The story tackles themes of isolation, mental illness and exclusion and is generally sad.  What it does well is portray the unnamed protagonist as a person who despite all she deals with is at heart confident in herself.  The player is given choices of how to interact with her, and her response to rude behaviour, while sometimes self depricating often turns into her setting boundaries with the player and standing her ground.  She is written relatably and contrary to a number of other visual novels is not sexualised in any way as to appeal to the player - she exists for herself and the game is written in a way that the player could believe that she exists entirely independently from them.",Yes,"Strength can come in many forms for anyone, it can be physical strength or it can be resolve and determination.  It can be resilience and refusal to be subdued, I think overall any strong character must have some kind of confidence in themselves or the cause they believe in.","independent, acknowledging of own flaws, self reliant - but not afraid to ask for  help",overreliance on other characters,Historical accuracy/context can justify a lack of representation in some instances,"You could make the argument that lack of representation in some instances could be used to push a point about how lack of diversity could have had negative impacts, but in general this is a very niche kind of point.",Yes,I mean look how cool samus is now - everyone wants cool sci-fi armour.,The arc that a character travels through during the story and how their character develops.,"The way that characters interact with each other is very important.  You can have characters that are antithetical to the representation that is desired, so long as the interactions between characters that concerns or surrounds them  lead to some kind of resolution of that exclusionary nature.",The arc that a character travels through during the story and how their character develops.,"The way that characters interact with each other is very important. The choices the player is given with how to interact with them is important as well. You can have characters that are antithetical to the representation that is desired, so long as the interactions between characters that concerns or surrounds them  lead to some kind of resolution of that exclusionary nature.","The way in which a character can be interacted with by the player is important, be they a vendor, a teammate, an enemy, a love interest - a wide variety of women with different roles to play in the story is often a good indicator of representation.  If the player is able to play as a woman, and how that affects the experience.  In most cases, being able to to play as a woman only means a change of pronouns in dialogue, but perhaps in the future, the choice of gender could have a meaningful impact on how the player interacts with the world.  (I have heard only anecdotaly about a character in Cyberpunk 2077 who is a lesbian who will only show interest in the player if they chose to play as a woman.)",I would assess it by asking Can I play as a woman? Can I have meaningful interactions with female characters? Are the women in this story written in a way that feels real and multi-dimensional?
14,Man,18 - 23,United Kingdom,At least once a week,At least once a week,Moderately important,"Yes, I have heard of and used it before",No,Bechdel test is a good idea but flawed when applied to all movies and shows as not all are made equally. A movie about an individual in isolation may not feature any conversation at all - yet the test implies it fails to represent women regardless of how our female protagonist is actually portrayed.,No,"I dont see how limiting the criteria of topics better helps to define how to represent a woman as all are distinct and unique - all are individuals with their own hobbies, careers, struggles and priorities.","Kim Weler from Better Call Saul, Ellen Ripley from Alien","Ellie from The Last of Us, Clementine from Telltale's Walking Dead",Yes,Being physically strong doesn't matter. A female character can be strong as long as they keep going despite challenges.,"Flawed, human, desires, struggles, determination","Mindless, no own opinions, filler character",Historical accuracy/context can justify a lack of representation in some instances,"For the WW2 example, accuracy trumps representation. However other cases may be different.",Yes,"Of course they can be changed. But whether they are or not depends on demand, so a business will likely choose whatever option is most profitable. But I'd hope demand would ask for better character in general.",,,,,,"Very wide range, from simple eye candy to believable human beings. But there is plenty of both if you look for it."
15,Non-binary,18 - 23,United Kingdom,At least once a week,At least once a day,Quite important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),"can be useful, but needs context. In most cases it should be a bare minimum bar to clear, but often is treated as a big achievement. there are also some situations in which failing isn't that bad (i.e. a romcom is gonna have almost every conversation between girls be about guys, and between guys about girls), and passing doesn't mean that the girls are actually good in depth characters ",No,"ultimately, as a quick test it is a useful first test. it just shouldn't be used as the be all and end all, and the context should be considered on an individual basis, not as an overall addition to the test ","hidden figures is the best one that springs to mind. shows that women are always involved, even if we don't get told their stories, shows what they had to go through because they were women (and specifically, back women)","overwatch (good variety of female characters, plenty of complex relationships between them), many of the Zelda games (could easily just be damsel in distress, instead many of the female characters are fighters, companions, and help to save the kingdom)",Yes,"ultimately ""strong female character"" should be about a women with strong characterisation, not a character who is a ""strong woman"". what makes a compelling character is to some degree down to personal preference ","consistent characterisation, relevance to the story, can make their own decisions which impact the story","changing characterisation to suit what the main characters need, lack of ability, autonomy, constant ""I'm not like other girls"" (i.e. the need to reject femininity to be accepted), constantly explaining their skills with ""I grew up with 5 brothers"" as if a women could never learn that stuff without men",Historical accuracy/context can justify a lack of representation in some instances,"often, people are wrong about the lack of women in historical contexts, and even in contexts where women were not present, people should be endeavouring to also tell the stories of women, not only those of what the men were doing (i.e. not all war films have to focus just on the men in the trenches, they should also make films about the women in all the work they did). Also, sometimes it's fine to just not be 100% accurate, especially when it's for something like allowing a customisable player character, allowing them to play as what they relate to",Yes,"I think Samus has essentially always been a good representation of women, (it's only at the very end of the game that she's seen in smaller outfits, which are essentially just the underwear under her suit, although it still was just gratuitous fanservice to show her in them). but in general yes characters can absolutely evolve and improve, and they can both be physically appealing (to men, and others too) while still being well rounded characters. the problem is not if a character is designed to appeal to men, but if it is only designed for appeal, rather than having a full character that the appeal is just a part of. a character can be fleshed out more to make them more well rounded than they were initially ",,,,,,
16,Man,24-29,United Kingdom,At least once a week,At least once a day,Quite important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),Testing for the direct objectification of women sort of worked for the movies of that time period and before where the fore front issue was women being completely objectified and sexusalised but doesn't really hold up in modern cinema where the issue of women lacking autonomy is the key historical issue movies still fail in. Especially with modern awareness of the test causing studio's to directly attempt to pass it. ,No,Making a number of additional to the bechdel test wouldn't really fix it imo it's kind of too simple to fix you just start adding weird qualifiers . Judging if a movie has sexist elements is probably top complicated a matter for a simple test.,Castle of cagliostro. Most ghibli movies. Knives out. Hogfather. Allowing female characters autonomy and prominence without forcing them to act masculine in order to fit a traditional protagonist mold,"Disco elysium, uhh this is kinda hard. Through having the female characters being more human and fleshed out. ",No,A female character having to have certain traits kind of misses the point and results in transformers esque I have 4 brothers characterisation when implemented on that level,"Autonomy, i Not regarding feminity as derisive",Being less fleshedout as a person than the male characters ,Historical accuracy/context can justify a lack of representation in some instances,It can justify women not being there but it can't justify women that are there being objects,Yes,This is a moderate misrepresentation of samus'smodels development over time.,Whether the characters or any at all are the primary point of view or subject,How they react to the circumstances of the plot,Whether the characters are enemies or allies or players,Whether they are treated as threats or not,Whether the characters have any use or befenift to the player,It's difficult to have a fully fleshed out character in most video games as almost all characters will lack autonomy and have to defer to the player and basically exist to feed them a postiive respinse loop except in more experimental games . As such the standards tend to be a bit lower and I would judge the representation on if theirs a disparity on how sexually the male and female characters are depicted and if the writer seemed to have no interest in making the female characters have actual personalities other than woman
17,Man,18 - 23,United Kingdom,At least once a month,At least once a month,Moderately important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),I feel like most conversations in movies are about a person and that the problem instead shows that there is a lack of important female characters in media rather than how the women themselves are represented as people. ,Yes,"A sort of ranking addition in a sense. Does the piece of media contain a plot relevant female character. Is this character important on their own, or are they important solely because of a male character. ","Ladybird, female main character, fights of patriarchal concepts of male validation by the main characters constant strive for self determination. Legally blonde, shows stereotypical femininity should have no perception on others perception of oneself. The Colour Purple, highly developed strong female characters strong themes of womanism. Alien, cool strong action woman. ","Horizon 0 dawn, valued not on her sex appeal but her ability to fight robot dinosaurs. Celeste, very real story, female aspect unimportant, in a sense more representative of the real world for this person. Mirrors edge, cool character, I like the design, dressed like a real person. ",Yes,,"Physical strength, independent, sense of identity, personal goals not related to just men","Physical weakness, co-dependent, no sense of self, constantly thinks about men",Historical accuracy/context can never justify a lack of representation,"I think that so long as the characters aren't doing anything physically unreasonable, I.e. A regular person picking up a bus in a world where it is presumed this would be impossible for a person to do, then setting context should have little impact on the story within reason. I.e. It would probably be confusing to have a Japanese woman playing benito mussolini without an explanation ",Yes,"That blizzard had to make tracer's butt smaller was insane. Overwatch character design is almost medieval in its portrayal of female characters. I feel like this sometimes gets ignored as overwatch isn't story driven so people have different standards for what is okay character design, Ivy from Soul Calibur is a disgrace","Overall importance, reaction to male fantasy situations, why they were in the story, could they reasonably be removed ","Idk exactly what this means.
Their personality? Their design? Their dialogue? ",Same answer as above,Same answer as above ,How cool they are. ,Usually from the lens of assuming a man designed the character and whether or not I'm disgusted by the thought process I perceive they went through to come to this character. 
18,Man,18 - 23,United States,At least once a month,At least once a day,Quite important,"Yes, I have heard of it before",No,No,Yes,,"Princess moananoke. While the main character is a male. The antagonist and the second protag are both female, and are fairly different in terms of normal female norms, the antagonist was incredibly intelligent and what she wants is a gray area in terms of real morality, and monaonoke displays masculine traits and is fairly independent. So one is intellectual strong and the other is physically strong, which a woman is more than capable of being","Hades, this one displays various women of intellectual and physical prowess. My next pick is persona 3, yukari is very much depicted as abrasive and she goes out of her way to challenge the leader of the group the protagonist is apart of, as the group is withheld information about their ultimate goal, And the leader, while the game says is the protagonist you play, is very much mitsuru, the eldest in the group. She displays intellectual prowess in both her school work and during key plot moments, both are quite developed and very well written, strong characters, who i believe break the typical female mold some media likes to portray. Yuna from FFX is a good example as well, as shes more of a depiction of a woman who doesn't break the mold with masculine traits. But her own power of will, and the mental burden shes meant to carry in her position. Shes easily the strongest emotionally of the group. And is really i would argue the real main character. ",Yes,N.a,"My view of strong is centered more toward actual intellectual and independence as a person. A display of being unafraid, holding the ability to make changes for youself. Physical strength is another thing. While i understand people view Physical strength to be rare in women, there are very much incredibly physically strong women, and that also has its own merit ","Submissiveness, being dull, lack of expressive character ",Historical accuracy/context can justify a lack of representation in some instances,,Yes,No,For tv shows or filsm pretty much all of it lol. ,"Physical appearance. Personality, pretty much every little bit of detail can change the representation of a character to the viewer.","All of it, i think every little detail is important and contains value","Design, personality. Goals, how they approach those goals, or their general demeanor. ","What they're actually doing in gameplay. The hurdles they overcome. All of it can contribute here also, I know its uniform answers here but everything matters. ","Well I'd try to take every part into consideration, does the female character make strong decisions? Does she have a real personality? Is her design just eye candy or does she seem realistic? Whats the role in the narrative? I take everything into consideration. "
19,Non-binary,24-29,United Kingdom,At least once a month,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"It's effective for media that has an ensemble cast - a good, representative piece of media may have a solo female lead who is alone for almost the entirety of the story & not pass the bechdel test",Other (please clarify in Question 14 below),"Yes! Lots of media will technically pass the bechdel test, but the passing female conversation in question comes across as quite vapid/sexist. However making a bulletproof sexism test for media isn't possible, and the bechdel can be an interesting frame of reference rather than solid evaluation.","Arcane (League of Legends) springs to mind immediately. Womanhood is a part of the female characters, but not in a way that misunderstands how your gender is a part of yourself. ","Guilt Gear Strive is a fighting game with a lot of fanservice, but interestingly it doesn't feel oppressive/poor representation? These characters have unique and deep personality traits, are experts in their craft, are diverse & intelligent and the game is not afraid to show this. ",Yes,"People often think a ""strong"" female character just means they need to be powerful, physically strong, a girlboss (haha). But for a female character to be strong, she should be written well... her character should be strong. A weak, nervous, sweet feminine character can still be a strong female character.  ","Feels real, like she's a human person.","No agency - clearly at the whim of the writers. Evidently written by someone who has sexist views in their head of women & it shows through how their female characters talk. The original ""The Boys"" comic springs to mind right now. ",Historical accuracy/context can justify a lack of representation in some instances,"My opinion is... If your WW2 film is aiming to be a real representation of the front lines, where almost no women were; then the representation of women doesn't seem entirely relevant here. If you're writing a WW2 film that involves women, and decide to use that as an excuse to write your women poorly, that is just plain sexism. Under oppression women are still people.",Yes,,"Well, every component? The narrative & world of the story is built by the writer, and if their world views are a bit bigoted... that can show up in the narrative. Pixels by Adam Sandler springs to mind where a woman is given away as a literal trophy prize at the end (among other things).","Again, I think every component.  Steven Moffat's Doctor Who, Dracula, Jekyll & Sherlock is a good example of poorly represented female characters despite things looking promising at first glance.  His narratives only need 3 types of woman: pathetic, in love with the main male character (even if she's a lesbian??), or very openly a dominatrix (but has a soft ""weak"" side, again, for the main male character only). ","It's hard for me to break this stuff down into components (sorry), especially because we'd be here forever because I believe the entire thing plays a part in this - representation is part of a huge tangled web we call a work of art; be it a movie or video game. ",Same answer as above," Again I believe every component and am struggling to compartmentalize everything, but gameplay gets overlooked often as a building block for a work of art! Often female characters will be weaker with less useful attacks, or just healers (which isn't bad in a vaccum, but it's certainly a pattern). Xenoblade Chronicles 3 comes to mind as a good example of representation through gameplay, as a male and female character in the main party represent each vague class (combat, tank, support). However Sena is a tank but she's built like a twig haha - all 3 girls are quite small and skinny. It can be explained away with magic, but that feels like a weak idea. I feel their bodies could have been more diverse but that's less to do with gameplay. The game overall is wonderfully diverse. "," I consume the media, check out what these characters do and how they act, and when it's poor representation, it's poor representation. I dont look out for anything in particular - usually when the writing is sexist, even when it's hidden under several layers of girlbossery, you can spot it."
20,Man,18 - 23,United Kingdom,At least once a day,At least once a day,Quite important,"Yes, I have heard of it before",Yes,"I think it’s hard to apply to so many different mediums as Games and Movies are very different, subsets of the test would be helpful.",Yes,I definitely think that the appearance of actor(s) should be added into the Bechdel test.,"Lady Bird, executes a tough subject matter in a mature way","Mass Effect series, arguable about the representation of some female characters but most are handled well with solid writing and designs that aren’t demeaning.",No,No,"Experience, knows what they’re doing and has handled traumatic experiences previously.","Fear, innocence",Historical accuracy/context can justify a lack of representation in some instances,"I think lack of representation in some contexts is acceptable, in terms of history I do think it’s important that it is told factually",Yes,,"Context, if the film is a romantic comedy the characters are going to be represented in a different light than if it was a dramatic period piece","Age, gender, sexuality","RPGs will be able to define their characters better than a FPS might, they provide more gameplay freedom to the player and to the developers to flesh out the characters","Abilities, backstory, race/speicies",Female fighting game characters tend to be sexualised or given provocative outfits to appeal to the male audience,How they are written and represented in terms of appearance 
21,Man,24-29,United Kingdom,At least once a day,At least once a week,Minimally important,No,No,,Other (please clarify in Question 14 below),Significance to the story/plot should take precedence.,"Kill Bill, doesn’t try to be realistic so having women starting in action roles is believable.","Tomb Raider, doesn’t try to force feed political messaging to consumers and is technically and artistically well made.",Yes,,Ability to think as an individual.,"Group mentality, eagerness to prove themselves to men.",Historical accuracy/context can always justify a lack of representation,Showing women in the 101st airborne at d-day would be nothing but disgustingly disrespectful.,Yes,,The direction of the plot,"Sex, physical attributes, mental attributes, experience, motivation.",Same as above.,Same as movies.,"Genre, first or third person.","Women are shoved into situations that are ridiculous for them to be in, would prefer more handcrafted narratives that work with female characters instead of just transposing men with women. "
22,Non-binary,18 - 23,France,At least once a week,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"The Bechdel test is a great way of showing how bad the films industry is at representing women. However, it shouldn’t be used as the sole metric for sexism in films, nor does failing it makes a film sexist. It needs to be complimented with more complete tests/research but is a great starting point.",Yes,"A big improvement would be to turn the test into a fully fleshed out template to accurately measure where and how a film or game is failing at representing women, or minorities in general.","Turning Red, Kate, I Care a Lot, Incredibles 2, The Mitchells vs the Machines, Into the Spider-Verse, Everything Everywhere All at Once, Encanto are all movies that do not necessarily pass the Bechdel test (even though most of those do). They have one thing in common however. They picture women as we can see them and interact with them in real life. They do not necessarily fall into clichés and they don’t need a male character to exist in the film.","Hades, The Last of Us, Going Under, Transistor do the same as good movies do. Relatable real female characters that do not need a male figure to exist. They are defined on their own.",Other (please clarify in Question 18 below),"A strong female character is interesting because it breaks the norm. That doesn’t mean it breaks it the right way. The femme fatale archetype in movies can be seen as both empowering and fetishising. As with everything, nuance is important. Strong female characters are great but they need depth just like any other. Putting muscles or power on a woman doesn’t make her automatically a genre-breaking revolution.","Relatability, independence, uniqueness","Overused clichés like excessive jealousy or mannerism, pink-washing",Historical accuracy/context can justify a lack of representation in some instances,Historical films are a pickle. It’s hard to describe a war when the only figures that stayed are men (thanks to patriarcal society silently erasing women). But there are ways to make it right and filmmakers or game directors should look into ways of doing so. Very very few settings actually require to have less women on screen however. It’s important to deconstruct fallacious arguments.,Yes,"It’s important to realise that video games are nowadays a very big part of modern culture and that people grow up with those characters. Accurate representation will limit bias and won’t prevent games from being appealing. A lot of successful games such as The Last of Us or Tomb Raider confirm that a female character that is not designed like World of Warcraft’s Victoria’s Secret characters doesn’t repel male players. Therefore, there is no justification for an imbalance between male and female sexualisation or objectification.","The story is very important, the cast basically dictates how characters will be represented and the story dictates the cast. Also, interactions between characters can lead to bad representation (bad random romance in action movies for example). Stereotypes also play a big role.","Their appearance, relationships, culture, writing, development, clichés, traits, etc. Characters define representation.",It is just the same as with movies.,"On top of all the things found in movies, relatability in games is very very important.","Clichés are very hard to deconstruct, generally if gameplay dictates character interaction, this can go great or poorly.","I usually look for relatability, the way they’re introduced, their role in the story and gameplay, their relationships to other characters, their appearance and overall design"
23,Woman,30-35,United Kingdom,At least once a day,At least once a year,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"I think it’s good as a very basic indicator of the amount of female speaking characters in a film, but it isn’t nuanced enough to tell us if the representation is good or bad. As the test was originally a joke in the Dykes to watch out for comic, rather than a representation test devised by film academics that’s not surprising! It’s great that it’s become mainstream enough that it encourages audiences to think about representation in media, there’s a great comedy night in Newcastle called “a comedy show that passes the Bechdel test” which books mostly female and NB comedians!",Other (please clarify in Question 14 below),"It would be used to consider themes and roles in the film, as well as historic setting. Ie do the characters all fulfil gender stereotypes or are they well rounded individuals? It would also be good to think about all kinds of representations, of disabled or queer or BIPOC communities who are also under represented, or only stereotypes in media.","Buffy the vampire slayer, lots of female leads and villains. They are strong, or nerdy, or clever, or caring or evil! Lots of different women with different personality.","I’m not really a gamer, maybe something like sims or fable where you can build your own character of whatever gender and have them live out whatever story you want!",Other (please clarify in Question 18 below),Not really clear what the question means… do you mean a “strong female representation” like the representation is strong and there are lots of women (like legally blond) or do you mean “strong women” are represented like only physically fit women?,"I guess anything could go in here, physical or emotional strength, if a character is relatable to me I’d consider it a strong character! ","I guess if the character is ONLY fulfilling stereotypes then I would consider it weak characterisation, but even some traits like being a good mother can be both stereotypes and strong. Maybe negative traits like being a damsel in distress?!",Historical accuracy/context can justify a lack of representation in some instances,My pet hate is bad representation in things which are set in fictional history like lord of the rings!,Yes,I like characters that evolve over time to stay relevant like Dr who. ,"The plot is very important, weather a character is motivated by love or ambitions or money or revenge. What kind of roles and situations they end up in can all contribute to good or bad representation. If the female characters are only ever a love interest that needs saving and never the hero that becomes very tiresome.","Definitely costumes and the casting of the characters are very important. Seeing a character who looks or dresses like you on screen can be very affirming. The personality and traits also contribute to good or bad representation, especially if you don’t fit into the mainstream. ","Similar to film the roles in the story women are allowed to play makes a huge difference. Being able to play as a woman and intact with other female characters in a variety or scenes , not having every chart be male as default!","I think it comes down to choice, if you can customise your character you’d want to have all the same options for outfits and props as the male or other gender characters and not be restricted! ",I mostly watch my friends play rather than have a go myself so I’m not sure!,"I think it’s improving, I dislike violent games like gta where you have to be male and there are hardly any female npcs. I’ve never played a first person shooter style game, the whole macho army vibe of glorifying guns puts me off a lot. My housemate plays stuff like stardew valley which looks super cute and seems to have much better gender options! I think as a teenager I was put off gaming but it seems like there are friendlier options now so I might get back into it!"
24,Man,18 - 23,United Kingdom,At least once a day,At least once a week,Moderately important,"Yes, I have heard of it before",,I understand what the test is designed to do and I think it can work but I don’t see it as a fully reliable test as to whether woman are aptly represented in the media.,No,"Conversations between women, I’m not the only ways women can be represented in there for the gaps in the test. For example, two women are pitted against each in a film with no speaking from ANY characters. This film still represents women.",Kill bill cos cmon ,"Halo with Cortina, Amanda Keys and  others. These games move the story along and are smart, tough and confident in a way that doesn’t feel obnoxious or resentful toward men. Halo elevates the women to be equal to their male counterparts.",Yes,,"Resilience, toughness, I drive to do what’s right, comfortability in the learning from failure","Low Drive determination or discipline, dismissing or blindness to responsibility, self entitlement, selfishness",Historical accuracy/context can always justify a lack of representation,"Women, although not on the front line, still represented a key role in the war effort, back home and in another military rules. To ignore these sacrifices by woman, and pretend like their sacrifices, or something else entirely, like putting them on the front line is more degrading to the history of women. ",Yes,,,,,,,I cba with this any more got an exam in 15mims but hope the answers I gave are helpful
25,Man,18 - 23,United Kingdom,At least once a month,At least once a day,Quite important,No,Yes,,Yes,,The Boys - each female character has alot of character building throughout the series ,"Overwatch 2 - over half of the characters are women and each have different strengths, abilities, personalities and backstories",No,,"Powerful, bold, courageous, emotional, a leader, sticks up for herself and other",,Historical accuracy/context can justify a lack of representation in some instances,it can depend on the type of film e.g if it's for education or attempting to be as historically accurate as possible ,Yes,they should be given as much detail as male characters and not just put in to be attractive,"context of film, backstories","Actions, Conversations, Thoughts","Lore of game, location, time period ","Personality, Conversations, How they interact with other characters, backstories","Abilities, Appearance, How fun they are to play as","I think many games do well to represent female characters, some better than other. but others are sometimes over sexualised for the audience without valid reason "
26,Woman,18 - 23,United Kingdom,At least once a day,At least once a month,Quite important,"Yes, I have heard of it before",Yes,,Other (please clarify in Question 14 below),im not entirely sure if im going to be honest i think maybe in some cases it could help but it also may not i don’t know ,,,Other (please clarify in Question 18 below),im dumb and dont know how to answer,ehhh im not sure em independent confident ehh i can’t think,ohh i have one thats like if a female has feelings or is emotional and comfortable in showing them isn’t strong which i think is not correct i think it makes them stronger,Historical accuracy/context can justify a lack of representation in some instances,no i apologise ,Yes,,i have no idea how to answer this im sorry,again i don’t know im sorry,this whole bit is just going to be me apologising for not know how to answer im sorry,i don’t know im sorrry ,i’m sorrryy i don’t know ,i believe to an extent females can be represented quite well in video games for example like the last of us. i don’t know if i answered this correctly so i apologise if i didn’t i also apologise for only answering this bit
27,Man,18 - 23,Canada,At least once a week,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"It’s a good start, but I feel there should be a tad more factors. Is the conversation about a man who is already important to the story, because something like “famous or in-universe fictional man we’re referencing for random convo” is a different. Plus it doesn’t feel quite enough. It’s better than the “sexy lamp test” as my animator brain can imagine a lamp doing literally anything.",Other (please clarify in Question 14 below),The protagonist could be female and would the same thing apply to the two female side characters? What if there’s a female side character and non-binary side character conversing? Can that lend towards as there’s no man?,Stranger Things’ Max and Eleven have non-man convos as adolescent girls,"Final Fantasy VII Remake w/ Aerith and Tifa having non-Cloud convos, Xenoblade Chronicles *3* (not 2) w/ Mio and Sena having non-Noah convos and grew up together before the main story.",Other (please clarify in Question 18 below),"“Strength” can mean physical, but to me, it’s endurance. Not how good a deal she can deal damage, but how well she can take damage. Jolyne Cujoh (JJBA Pt 6: Stone Ocean) stands out more than MCU’s Captain Marvel because she takes more visible damage just to get continue the struggle to get through, even if Jolyne can’t dish out more damage than Captain Marvel. Korra from The Legend of Korra is another good example, she is physically strong but it’s the losses is what makes her successes glow.","Enduring, clever, established meaningful flaws to overcome, can start off ”talented” but shows growth in what they need to.","Misandry/obsessive patriarchy hate, toxic masculine traits projected on a woman, fatale-but-nothing-else, flawless.",Historical accuracy/context can justify a lack of representation in some instances,"Depending on the seriousness of the material. In Call of Duty or Battlefield, it’s partially a power fantasy than a “horrors of war” kind of narrative, woman should be represented there. If the intent was to retell a soldier’s specific perspective, leaning into accuracy for recreation is more key.",Yes,"Samus had a bad wrap in Other M but there was potential I can see. Her having trauma surfacing was an excellent idea, but her needing orders to activate an ability isn’t what she’s about from previously established works. Also in Metroid Dread the reward is pretty artworks of previous games instead, so the “Samus strip%” is no more.","Activity of characters in plot, also not playing “the Planet of Hats” in worldbuilding. Themes are important in a message and the representation can contribute into it and not contradict it. (*cough* Persona contradictory homophobia *cough*)","representing traits of what makes a character interesting w/o leaning into stereotypes (specifically for race and LGBTQIA+), relationships of characters, platonic relationships between man and woman.","Same as movies and films, but at least bare minimum in active story minimum games like Metroid.","Same as film/movie. But also, varying body type designs can benefit gameplay in tandem, Chun-Li’s thick thighs aren’t just for show but they’re also indicating “watch out for kicks” or “utilize low attacks”. There was a good video by T B Skyen on Olympic women of various sports and how varied “strong women” builds can be depending on their accustomed talent, a javelin thrower and fencer both use arms but there’s still a clear distinction in their builds. This can apply to film too, assuming animated where designs are flexible.","Depends on the genre. If in the case of a class-based game or RPG, more than performers or healers for women. (If we’re discussing feminism still, tired writing this)","How much do I feel threatened by or root for the female character rather than simply turned on. (I can feel that, but if it’s rooted partially from those two, yes) Sorry tired while writing this."
