ID,Gender,Age,Country,How often movies,How often games,Women in media important,Use Bechdel before,Is Bechdel good?,Bechdel comments,Modifications on Bechdel,What Bechdel Mods,Film good rep,Games good rep,Strength,Strength comments,Good strong traits,Bad strong traits,Historical context,Context comments,Representation changed,Rep changed comments,Film Narrative,Film Characters,Game Narrative,Game Characters,Game Gameplay,Personally assess
11,Woman,18 - 23,United Kingdom,At least once a day,At least once a day,Moderately important,"Yes, I have heard of and used it before",No,"Appropriate, minimalistic",Yes,"Minimum conversation length, relevance to narrative, character appearance","Black panther, strong independent women, Pose, realistic struggles, setting backs themes","Stardew Valley, well-written characters, BOTW, strong flawed women",Yes,Unsure of who the three characters in image for question 17.,"Well characterised, believable motivations and reactions, not one sided. Used and acknowledged in a variety of situations. Physically, mentally strong","One-dimensional, stereotypes, unjustifiedly sexualised",Historical accuracy/context can justify a lack of representation in some instances,"If it is looking to be wholy accurate then it may be justifiable. But if there is a fantasy element, or if women are missed in roles where they would typically be ie medics in the above example, then that excuse cannot be used. ",Yes,"I think if it is out of place in the context of the game then entirely yes! The examples above are fantastic. However if the difference and use of stereotypes has a robust and solid reason to be that way then I feel that it may be justified, depending on how robust it truly is.","Cohesion, setting, realistic-writing","Motivation. Emotions, appearance, perspective, relationships","Plot, immersion","Motivation, characterisation","Controls, plot","Characterisation, importance"
12,Woman,18 - 23,United Kingdom,At least once a day,At least once a month,Very important,"Yes, I have heard of it before",No,,Yes,Girl main character,,,Yes,,"Ambition, Emotionally intelligent",,Historical accuracy/context can justify a lack of representation in some instances,,Yes,,Character development,Backstory,Character development,Backstory,"Backstory, skippableness","Well_written, backstory"
13,Woman,18 - 23,United Kingdom,At least once a year,At least once a day,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),Indicative,Yes,,"Annihilation, lots of varied women, The Umbrella Academy, lost of varied women","Dishonored 2, varied well-writte women, Amnesia Rebirth (2020), independent resourceful woman, gender relevant to story, Milk Inside A Bag of Milk..., Milk Outside a Bag of Milk..., confident realistic woman",Yes,"Strength can come in many forms for anyone, it can be physical strength or it can be resolve and determination.  It can be resilience and refusal to be subdued, I think overall any strong character must have some kind of confidence in themselves or the cause they believe in.","independent, acknowledging of own flaws, self reliant, not afraid to ask for help",Reliant,Historical accuracy/context can justify a lack of representation in some instances,"You could make the argument that lack of representation in some instances could be used to push a point about how lack of diversity could have had negative impacts, but in general this is a very niche kind of point.",Yes,I mean look how cool samus is now - everyone wants cool sci-fi armour.,Character development,"Relationships, interactions, character development",Character development,"Interactions, choices, character development, relationships","Player interaction, sex","Playable_girl, interactions, well_written, equally_written_as_guys"
14,Man,18 - 23,United Kingdom,At least once a week,At least once a week,Moderately important,"Yes, I have heard of and used it before",No,Doesn't account certain contexts,No,,"Alien, Better Call Saul","Last of Us, Walking Dead",Yes,Being physically strong doesn't matter. A female character can be strong as long as they keep going despite challenges.,"Flawed, human, desires, struggles, determined, realistic","Mindless, lacks opinions, one-dimensional",Historical accuracy/context can justify a lack of representation in some instances,"For the WW2 example, accuracy trumps representation. However other cases may be different.",Yes,"Of course they can be changed. But whether they are or not depends on demand, so a business will likely choose whatever option is most profitable. But I'd hope demand would ask for better character in general.",,,,,,Variety
15,Non-binary,18 - 23,United Kingdom,At least once a week,At least once a day,Quite important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),"Doesn't account certain contexts, can pass bad rep",No,Convo context,"Hidden Figures, highlights forgotten women","overwatch , varied women, Zelda, important physically strong women",Yes,"ultimately ""strong female character"" should be about a women with strong characterisation, not a character who is a ""strong woman"". what makes a compelling character is to some degree down to personal preference ","consistent characterisation, important, makes own decisions","Changing characterisation, lack-of-autonomy, rejects femininity, bad skill justification",Historical accuracy/context can justify a lack of representation in some instances,"often, people are wrong about the lack of women in historical contexts, and even in contexts where women were not present, people should be endeavouring to also tell the stories of women, not only those of what the men were doing (i.e. not all war films have to focus just on the men in the trenches, they should also make films about the women in all the work they did). Also, sometimes it's fine to just not be 100% accurate, especially when it's for something like allowing a customisable player character, allowing them to play as what they relate to",Yes,"I think Samus has essentially always been a good representation of women, (it's only at the very end of the game that she's seen in smaller outfits, which are essentially just the underwear under her suit, although it still was just gratuitous fanservice to show her in them). but in general yes characters can absolutely evolve and improve, and they can both be physically appealing (to men, and others too) while still being well rounded characters. the problem is not if a character is designed to appeal to men, but if it is only designed for appeal, rather than having a full character that the appeal is just a part of. a character can be fleshed out more to make them more well rounded than they were initially ",,,,,,
16,Man,24-29,United Kingdom,At least once a week,At least once a day,Quite important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"Doesn't work for modern rep issues, studios making films to pass even if bad rep",No,,"Castle of cagliostro. Most ghibli movies. Knives out. Hogfather, autonomous non-masculine important women","Disco elysium, well-written women",No,A female character having to have certain traits kind of misses the point and results in transformers esque I have 4 brothers characterisation when implemented on that level,Autonomy,One-dimensional,Historical accuracy/context can justify a lack of representation in some instances,It can justify women not being there but it can't justify women that are there being objects,Yes,This is a moderate misrepresentation of samus'smodels development over time.,perspective,Plot,"importance, relationships",Relationships,Player interaction,"Well_written, equally_written_as_guys"
17,Man,18 - 23,United Kingdom,At least once a month,At least once a month,Moderately important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),Addresses wrong issue,Yes,Independenty important girl character,"Alien, cool strong woman, Ladybird, important independent women fights patriarchical norms, Legally Blonde, purposefully feminine woman, The Colour Purple, important woman with connected themes","Horizon Zero dawn, physically strong woman. Celeste, realistic character. Mirrors edge, cool outfit",Yes,,"Physically strong, independent, sense of identity, personal goals not related to just men","Physically weak, Reliant, dependent, constantly thinks about men",Historical accuracy/context can never justify a lack of representation,"I think that so long as the characters aren't doing anything physically unreasonable, I.e. A regular person picking up a bus in a world where it is presumed this would be impossible for a person to do, then setting context should have little impact on the story within reason. I.e. It would probably be confusing to have a Japanese woman playing benito mussolini without an explanation ",Yes,"That blizzard had to make tracer's butt smaller was insane. Overwatch character design is almost medieval in its portrayal of female characters. I feel like this sometimes gets ignored as overwatch isn't story driven so people have different standards for what is okay character design, Ivy from Soul Calibur is a disgrace","importance, justifications",,,,Coolness,
18,Man,18 - 23,United States,At least once a month,At least once a day,Quite important,"Yes, I have heard of it before",No,,Yes,,"Princess Mononoke, non-conforming, smart antagonist woman and physically strong woman","Hades, smart physically strong women, Persona 3, realistic non-stereotypical women. Final Fantasy X, emotionally strong woman",Yes,N.a,"Intelligent, independent, unafraid, makes decisions, physically strong","Submissive, dull, unexpressive",Historical accuracy/context can justify a lack of representation in some instances,,Yes,No,Everything,"Everything, personality, appearance",Everything,"Appearance, personality, goals","Controls, struggles, everything","Characterisation, appearance, roles, importance, actions"
19,Non-binary,24-29,United Kingdom,At least once a month,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),Doesn't account for certain contexts,Other (please clarify in Question 14 below),,"Arcane (League of Legends), gender unimportant in characters","Guilt Gear Strive, varied women, good fanservice",Yes,"People often think a ""strong"" female character just means they need to be powerful, physically strong, a girlboss (haha). But for a female character to be strong, she should be written well... her character should be strong. A weak, nervous, sweet feminine character can still be a strong female character.  ",Realistic,Lack-of-autonomy,Historical accuracy/context can justify a lack of representation in some instances,"My opinion is... If your WW2 film is aiming to be a real representation of the front lines, where almost no women were; then the representation of women doesn't seem entirely relevant here. If you're writing a WW2 film that involves women, and decide to use that as an excuse to write your women poorly, that is just plain sexism. Under oppression women are still people.",Yes,,Everything,Everything,Everything,Everything,"Everything, controls, roles, appearance",Actions
20,Man,18 - 23,United Kingdom,At least once a day,At least once a day,Quite important,"Yes, I have heard of it before",Yes,Several smaller tests would work better,Yes,Character appearance,Ladybird,"Mass Effect , well-written women",No,No,"Experienced, handled traumas","Fear, innocent",Historical accuracy/context can justify a lack of representation in some instances,"I think lack of representation in some contexts is acceptable, in terms of history I do think it’s important that it is told factually",Yes,,Context,"Age, gender, sexuality","Genre, writing","Abilities, backstory, race, species",Appearance,"Appearance, well_written"
21,Man,24-29,United Kingdom,At least once a day,At least once a week,Minimally important,No,No,,Other (please clarify in Question 14 below),Independenty important girl character,"Kill Bill, deliberately unrealistic","Tomb Raider, non-political",Yes,,Independent,"dependent, unconfident",Historical accuracy/context can always justify a lack of representation,Showing women in the 101st airborne at d-day would be nothing but disgustingly disrespectful.,Yes,,plot,"Sex, appearance, mental attributes, experience, motivation",Plot,"Sex, appearance, mental attributes, experience, motivation","Genre, controls","Narrative_cohesion, well_written, irreplacable_with_guy"
22,Non-binary,18 - 23,France,At least once a week,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),Indicative,Yes,Split into multiple tests/criteria,"Turning Red, Kate, I Care a Lot, Incredibles 2, The Mitchells vs the Machines, Into the Spider-Verse, Everything Everywhere All at Once, Encanto, realistic non-stereotyped women","Hades, The Last of Us, Going Under, Transistor, relatable independent women",Other (please clarify in Question 18 below),"A strong female character is interesting because it breaks the norm. That doesn’t mean it breaks it the right way. The femme fatale archetype in movies can be seen as both empowering and fetishising. As with everything, nuance is important. Strong female characters are great but they need depth just like any other. Putting muscles or power on a woman doesn’t make her automatically a genre-breaking revolution.","Reltable, independent, unique","Stereotypes, pink",Historical accuracy/context can justify a lack of representation in some instances,Historical films are a pickle. It’s hard to describe a war when the only figures that stayed are men (thanks to patriarcal society silently erasing women). But there are ways to make it right and filmmakers or game directors should look into ways of doing so. Very very few settings actually require to have less women on screen however. It’s important to deconstruct fallacious arguments.,Yes,"It’s important to realise that video games are nowadays a very big part of modern culture and that people grow up with those characters. Accurate representation will limit bias and won’t prevent games from being appealing. A lot of successful games such as The Last of Us or Tomb Raider confirm that a female character that is not designed like World of Warcraft’s Victoria’s Secret characters doesn’t repel male players. Therefore, there is no justification for an imbalance between male and female sexualisation or objectification.","Plot, cast, interactions, stereotypes","appearance, relationships, culture, writing, character development, stereotypes","Plot, cast, interactions, stereotypes","appearance, relationships, culture, writing, character development, stereotypes, relatability","Stereotypes, tropes, interaction","Relatability, roles, gameplay, relationships, appearance"
23,Woman,30-35,United Kingdom,At least once a day,At least once a year,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),Indicative,Other (please clarify in Question 14 below),"Stereotyping, relevance to narrative","Buffy the vampire slayer, lost of varying important women",Player-created RPGs,Other (please clarify in Question 18 below),Not really clear what the question means… do you mean a “strong female representation” like the representation is strong and there are lots of women (like legally blond) or do you mean “strong women” are represented like only physically fit women?,"Relatable, physically, emotionally strong",Bad stereotypes,Historical accuracy/context can justify a lack of representation in some instances,My pet hate is bad representation in things which are set in fictional history like lord of the rings!,Yes,I like characters that evolve over time to stay relevant like Dr who. ,"Plot, motivations","Appearance, cast, personality","Plot, motivations, PC diversity",Appearance,,
24,Man,18 - 23,United Kingdom,At least once a day,At least once a week,Moderately important,"Yes, I have heard of it before",,Indicative,No,Change criteria,Kill bill,"Halo, smart, tough, confident, important women",Yes,,"Resilient, tough, does the right things, adapts","Undetermined, unresponsible, self-entitled, selfish",Historical accuracy/context can always justify a lack of representation,"Women, although not on the front line, still represented a key role in the war effort, back home and in another military rules. To ignore these sacrifices by woman, and pretend like their sacrifices, or something else entirely, like putting them on the front line is more degrading to the history of women. ",Yes,,,,,,,
25,Man,18 - 23,United Kingdom,At least once a month,At least once a day,Quite important,No,Yes,,Yes,,"The Boys, women have character development","Overwatch 2, varied women",No,,"Powerful, bold, courageous, emotional, a leader, sticks up for herself and others",,Historical accuracy/context can justify a lack of representation in some instances,it can depend on the type of film e.g if it's for education or attempting to be as historically accurate as possible ,Yes,they should be given as much detail as male characters and not just put in to be attractive,"Context, backstory","Actions, dialogue, perspective","Worldbuilding, setting","Personality, Conversations, interaction, relationships, backstory","Abilities, Appearance, controls",unjustified_sexualisation
26,Woman,18 - 23,United Kingdom,At least once a day,At least once a month,Quite important,"Yes, I have heard of it before",Yes,,Other (please clarify in Question 14 below),,,,Other (please clarify in Question 18 below),im dumb and dont know how to answer,"independent, confident",,Historical accuracy/context can justify a lack of representation in some instances,no i apologise ,Yes,,,,,,,
27,Man,18 - 23,Canada,At least once a week,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"Indicative, needs more factors",Other (please clarify in Question 14 below),Include non-binary characters,Stranger Things,"Final Fantasy VII Remake, Xenoblade Chronicles 3",Other (please clarify in Question 18 below),"“Strength” can mean physical, but to me, it’s endurance. Not how good a deal she can deal damage, but how well she can take damage. Jolyne Cujoh (JJBA Pt 6: Stone Ocean) stands out more than MCU’s Captain Marvel because she takes more visible damage just to get continue the struggle to get through, even if Jolyne can’t dish out more damage than Captain Marvel. Korra from The Legend of Korra is another good example, she is physically strong but it’s the losses is what makes her successes glow.","Enduring, intelligent, overcomes obstacles, grows","Misandry, toxic-masculine, only-fatale, flawless",Historical accuracy/context can justify a lack of representation in some instances,"Depending on the seriousness of the material. In Call of Duty or Battlefield, it’s partially a power fantasy than a “horrors of war” kind of narrative, woman should be represented there. If the intent was to retell a soldier’s specific perspective, leaning into accuracy for recreation is more key.",Yes,"Samus had a bad wrap in Other M but there was potential I can see. Her having trauma surfacing was an excellent idea, but her needing orders to activate an ability isn’t what she’s about from previously established works. Also in Metroid Dread the reward is pretty artworks of previous games instead, so the “Samus strip%” is no more.","Importance, worldbuilding, stereotypes, themes","Stereotypes, relationships","Importance, worldbuilding, stereotypes, themes, unskippableness","Stereotypes, relationships, appearance","Genre, roles","Relatability, appearance"
28,Non-binary,18 - 23,United Kingdom,At least once a day,At least once a week,Quite important,"Yes, I have heard of and used it before",No,Doesn't look at bigger picture,Other (please clarify in Question 14 below),Split into multiple tests/criteria,"Women Talking (2022),women POV, Ursula K. Le Guin, varying women, the films of Claire Denis, which show women’s sexuality bluntly and erotically. Alien, non-stereotypical woman","Hellblade, sympathetic vulnerable woman, God of War Ragnarök, understandable woman, Life Is Strange, fulfilled women",Yes,"“Strong” is a vague term with loaded connotations (it is opposed to “weak” for example, not just in writing but in character)","Self-assured, unashamed ugliness, antinormative physicality (e.g. fat, buff, bald, disabled, disfigured etc.), realistic, weak",Dependent,Historical accuracy/context can justify a lack of representation in some instances,"Sometimes a metacommentary is a given, but not always",Yes,"I do, however I think overt women’s sexuality is not always a negative ","Stereotypes, tropes, historic structures, subversion",Depth,"Importance, skippableness","Themes, intention","Controls, sex","roles, interactions, context"
29,Woman,30-35,United Kingdom,At least once a month,At least once a month,Very important,"Yes, I have heard of and used it before",Yes,Doesn't look at men's tone of discussions of women,No,,"Stranger Things, non-conforming women w realistic struggles",,Yes,,,,Historical accuracy/context can always justify a lack of representation,Emphasis on historical accuracy - hypothetical context is not a good ustification ,Yes,,,,,,,
30,Man,24-29,United Kingdom,At least once a day,At least once a day,Quite important,"Yes, I have heard of it before",Yes,,Yes,,,"Bayonetta, positively sexual woman. wild arms 3, non sexualised women",No,,"Important, independent","Reliant, dependant",Historical accuracy/context can justify a lack of representation in some instances,,Yes,,"Plot, character development",,,,,
31,Man,18 - 23,Canada,At least once a week,At least once a week,Quite important,No,Yes,Accurate,Yes,,"Black Panther, important strong women","Metroid, smart, strong woman",Yes,,,,Historical accuracy/context can always justify a lack of representation,,Yes,,,"Relationships, interactions",,Character development,Abilities,
32,Man,24-29,United States,At least once a week,At least once a day,Very important,No,Other (please clarify in Question 12 below),,Other (please clarify in Question 14 below),,"Alien, badass women, stereotypes made positive","Street Fighter, well-personalised women",Other (please clarify in Question 18 below),"I don’t think strength is inherently tied to a specific feat or attribute. Strength can be measured in many forms other than physical and mental. I think strength is best exemplified through a character accomplishing insane feats through their own capabilities, learning to overcome their boundaries and limits for the sake of them selves and others. Mentally, physically or emotionally. Female characters can often show a unique interpretation of strength through both the embracing of strong feminine traits that can aid in breaking through stereotypical molds painted by generations of misrepresentation.  ","Personality, Charisma, adapts, feminine, vulnerable, resolved","Unrealistic, underdeveloped, unimportant",Historical accuracy/context can justify a lack of representation in some instances,"It depends on the story being told, obviously if it was a specific story in World War Two that involved specific people, you cannot meddle in that source material as it would be disrespectful to those who lived it. However if World War II is the setting then people can be free to represent who they feel should be represented in an extremely large and nuanced period in world history. ",Other (please clarify in Question 24 below),"I think the argument could be made that in their inception, yes they might’ve been designed as eye candy. but as those series’ moved forward, those characters have blasted through any stereotypes and prejudices and have become great characters in their own right. ","Plot, setting, character development","appearance, personality, perseverance","Plot, setting, character development","appearance, personality, perseverance",Controls,
33,Man,18 - 23,United States,At least once a week,At least once a day,Quite important,"Yes, I have heard of and used it before",Yes,Add 1 more convo criteria,Yes,Add 1 more convo criteria,"Amphibia, women w character development","Yakuza, respected women in power",No,My idea of a strong female character is one that is written just as well as the others in a story without any positive or negative bias in any case.,,Inequality,Historical accuracy/context can justify a lack of representation in some instances,"Accuracy's importance depends on if the creator intends to craft a faithful or unique take on a subject. At the end of the day, it personally doesn't matter too much to me, what matters is the finished product is enjoyable.",Yes,Characters that were created to be Male Gaze fodder becoming multilayered with personality is one of the coolest things I've seen happen to gaming.,,"Relationships, personality, importance",Skippableness,Importance,Controls,Impactful
34,Woman,18 - 23,United States,At least once a year,At least once a day,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),Doesn't look at production,Yes,Add production criteria,"Better Call Saul, realistic women","VA11-Hall-A, emotionally open women",Yes,,,,Historical accuracy/context can justify a lack of representation in some instances,I tend to find this argument to be used mostly as post hoc justification for why people get upset at representation in certain media. There are some cases where I think it can be legitimate but for the most part I find it's a weak excuse. ,Yes,,"dialogue, plot, cinematography","appearance, dialogue, role","dialogue, plot","Appearance, dialogue",Narrative cohesion,"Stereotypes, well_written, importance, irreplacable_with_guy"
35,Genderless,18 - 23,Greece,At least once a week,Less than once a year to never,Very important,"Yes, I have heard of and used it before",Yes,Lacks nuance,Yes,,"A League of their Own (2022), The Sex Lives of College Girls (2021), varied women",,Yes,,,,Historical accuracy/context can justify a lack of representation in some instances,,Yes,,"Music, Setting ","appearance, Dialogue",,,,
36,Man,18 - 23,United States,At least once a day,At least once a day,Quite important,No,Other (please clarify in Question 12 below),Lacks nuance,Yes,"Minimum conversation length, specific convo topics, character appearance","Better Call Saul, Neon Genesis Evangelion, Chainsaw Man, realistic women w struggles","Nier Replicant v1.22, woman w character development, Fallout: New Vegas, caring woman, Apex Legends, well-written characters interpersonal relationships",Other (please clarify in Question 18 below),"I feel like the question isn't true to female characters, I feel like most characters that I think are fantastically written all have a defining trait, regardless of gender identity.","defiant, stoic, cold, determined","annoying, bumbling, self-centered",Historical accuracy/context can justify a lack of representation in some instances,,Yes,"No, I feel like over the years we have seen the evolution of pre existing female characters in multiple instances of media",Character development,"writing, relationships, interactions","Character development, plot","Appearance, animation, cast","Character development, plot, appearance, animation",
37,Man,24-29,United States,At least once a week,At least once a day,Very important,"Yes, I have heard of and used it before",Yes,Lacks nuance,Yes,,"Jujutsu Kaisen, Brooklyn 99, Chainsaw Man, realistic strong women, gender unimportant in characters","Hades, Indivisible, Lunistice, Portal, Portal 2, Shantae, Transistor; Well-written, likeable, deep women",Yes,I can agree to an extent,"Physically strong, emotionally intelligent, intelligent, confident","Stupid, pushover, sexualised, objectified",Historical accuracy/context can justify a lack of representation in some instances,"Historical context can certainly justify a lack of or abundance of a particular representation, however that doesn't necessarily mean outright excluding certain groups is necessary or respectful",Yes,Samus is a great example,"Plot, setting, relationships, themes","Age, intelligence, physical capability, interactions","relationships, plot, worldbuilding, themes","Age, intelligence, physical capability, conversational ability","Controls, stats","Appearance, personality, moveset"
